host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days
unknown,100.0,50.0,0,1,5,1,1,THIRD WARD,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Carbon monoxide alarm"", ""Air conditioning"", ""Essentials"", ""Heating"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""TV with standard cable""]",93.0,28,1125,28,28,1125,1125,28.0,1125.0,1,0,0,0,188,9,0,0,0,0,0,0.0,3.56,3.44,3.56,4.22,4.56,3.22,3.67,0,1,0.07,1,0,0,4164,1195,0,0,4704,50
within an hour,100.0,100.0,1,5,5,1,1,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,"[""HDTV with standard cable, Apple TV"", ""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Microwave"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Smart lock"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Toaster"", ""Shampoo"", ""Clothing storage"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Stove"", ""Coffee"", ""Central air conditioning"", ""Freezer"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",91.0,2,1125,2,3,1125,1125,2.8,1125.0,1,30,49,79,354,311,6,0,76,15,36,3276.0,4.74,4.88,4.87,4.85,4.81,4.81,4.77,0,5,2.29,1,0,0,4119,112,0,0,4127,49
within an hour,100.0,99.0,0,2,2,1,1,SECOND WARD,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Wine glasses"", ""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Ceiling fan"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",64.0,2,45,1,2,1125,1125,1.3,1125.0,1,0,0,12,12,373,5,1,10,38,30,1920.0,4.52,4.62,4.45,4.81,4.88,4.76,4.64,0,2,2.94,1,0,0,3853,70,0,0,3909,49
within an hour,100.0,100.0,1,5,5,1,1,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Dining table"", ""Self check-in"", ""TV with standard cable"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Shampoo"", ""Free parking on premises"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Stove"", ""Freezer"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",95.0,2,1125,1,3,1125,1125,2.7,1125.0,1,0,30,60,335,332,4,0,58,22,24,2280.0,4.73,4.83,4.71,4.83,4.7,4.8,4.72,0,5,2.64,1,0,0,3823,147,0,0,4127,50
unknown,100.0,100.0,1,1,1,1,1,SIXTH WARD,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Portable fans"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""TV"", ""Conditioner"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Hair dryer"", ""Pack \u2019n play/Travel crib""]",89.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,246,623,25,0,0,31,150,13350.0,4.79,4.86,4.82,4.95,4.93,4.87,4.77,0,1,5.58,1,0,0,3396,113,0,0,4158,50
within an hour,100.0,99.0,0,2,2,1,1,SECOND WARD,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,"[""Heating"", ""Private entrance"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Portable fans"", ""Essentials"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Microwave"", ""Wifi"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge""]",60.0,1,60,1,1,1125,1125,1.0,1125.0,1,10,38,67,242,434,38,2,64,42,228,13680.0,4.57,4.72,4.52,4.84,4.86,4.77,4.68,0,2,3.68,1,0,0,3583,52,0,0,3909,49
within an hour,100.0,93.0,1,2,3,1,0,FOURTEENTH WARD,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Refrigerator"", ""Essentials"", ""Lockbox"", ""Single level home"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Wifi"", ""Self check-in"", ""Ethernet connection"", ""TV with standard cable"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Window AC unit"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",47.0,1,1125,1,1,1125,1125,1.0,1125.0,1,13,38,68,157,845,132,8,65,128,255,11985.0,4.83,4.89,4.79,4.93,4.88,4.93,4.91,0,2,7.18,1,0,0,3580,58,0,0,4622,49
within an hour,100.0,88.0,1,8,13,1,1,FIFTEENTH WARD,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3.0,4.0,"[""Books and reading material"", ""Hot water"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Shampoo"", ""Free parking on premises"", ""Outlet covers"", ""Barbecue utensils"", ""Sonos sound system with Bluetooth and aux"", ""Hair dryer"", ""GE stainless steel gas stove"", ""Game console"", ""Private entrance"", ""Coffee maker"", ""Stainless steel oven"", ""Garden view"", ""Portable fans"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Microwave"", ""Bed linens"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Clothing storage: walk-in closet and wardrobe"", ""Carbon monoxide alarm"", ""Baby bath"", ""Laundromat nearby"", ""Sun loungers"", ""BBQ grill"", ""Indoor fireplace: gas"", ""Room-darkening shades"", ""Ceiling fan"", ""Outdoor dining area"", ""Cleaning available during stay"", ""Blender"", ""Luggage dropoff allowed"", ""Babysitter recommendations"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Private backyard \u2013 Not fully fenced"", ""Safe"", ""Refrigerator"", ""Dishwasher"", ""Baby safety gates"", ""Outdoor furniture"", ""Keypad"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Pets allowed"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Coffee"", ""Rice maker"", ""Drying rack for clothing"", ""High chair"", ""Board games"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Fire pit"", ""Wine glasses"", ""Bathtub"", ""Heating"", ""Dishes and silverware"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Window AC unit"", ""Body soap"", ""Freezer"", ""Free street parking"", ""Iron"", ""Private patio or balcony""]",227.0,1,1124,1,2,1124,1124,1.3,1124.0,1,18,41,71,346,209,45,0,69,34,255,57885.0,4.96,4.93,4.98,4.99,4.97,4.94,4.87,0,8,1.83,1,0,0,3466,82,0,0,4745,50
within a few hours,100.0,0.0,0,2,2,1,1,ELEVENTH WARD,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0.0,1.0,"[""Heating"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Safe"", ""Refrigerator"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Microwave"", ""Hot water"", ""Host greets you"", ""Kitchen"", ""Free washer \u2013 In building"", ""Wifi"", ""Gas stove"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Shampoo"", ""First aid kit"", ""Breakfast"", ""Hangers"", ""Smoke alarm"", ""Free street parking"", ""Hair dryer""]",56.0,15,112,15,15,112,112,15.0,112.0,1,29,59,89,364,231,0,0,87,2,0,0.0,4.81,4.87,4.37,4.94,4.96,4.52,4.87,0,2,2.03,1,0,0,3464,634,0,0,3551,50
within an hour,100.0,71.0,0,2,2,1,1,SIXTH WARD,42.65154,-73.76867,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Bathtub"", ""HDTV with Netflix"", ""Heating"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Shared patio or balcony"", ""Cooking basics"", ""Essentials"", ""Single level home"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Host greets you"", ""Cleaning products"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Exercise equipment"", ""Dryer"", ""Stove"", ""Trash compactor"", ""Freezer"", ""Bidet"", ""Blender"", ""Barbecue utensils"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",47.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,3,33,308,29,1,0,31,1,10,470.0,4.83,4.9,4.59,4.83,4.9,4.72,4.76,0,2,0.47,1,0,0,1919,107,0,0,3494,50
