host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days,room_type_Entire home/apt,room_type_Private room,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in hotel,neighbourhood_cleansed_EIGHTH WARD,neighbourhood_cleansed_ELEVENTH WARD,neighbourhood_cleansed_FIFTEENTH WARD,neighbourhood_cleansed_FIFTH WARD,neighbourhood_cleansed_FIRST WARD,neighbourhood_cleansed_FOURTEENTH WARD,neighbourhood_cleansed_FOURTH WARD,neighbourhood_cleansed_NINTH WARD,neighbourhood_cleansed_SECOND WARD,neighbourhood_cleansed_SEVENTH WARD,neighbourhood_cleansed_SIXTH WARD,neighbourhood_cleansed_TENTH WARD,neighbourhood_cleansed_THIRD WARD,neighbourhood_cleansed_THIRTEENTH WARD,neighbourhood_cleansed_TWELFTH WARD,amenity__Wifi,amenity__Smoke_alarm,amenity__Kitchen,amenity__Carbon_monoxide_alarm,amenity__Hot_water,amenity__Hangers,amenity__Cooking_basics,amenity__Dishes_and_silverware,amenity__Microwave,amenity__Bed_linens,amenity__Self_check-in,amenity__Iron,amenity__TV,amenity__Refrigerator,amenity__Essentials,amenity__Fire_extinguisher,amenity__Shampoo,amenity__First_aid_kit,amenity__Long_term_stays_allowed,amenity__Hair_dryer,amenity__Cleaning_products,amenity__Free_street_parking,amenity__Freezer,amenity__Dining_table,amenity__Exterior_security_cameras_on_property,amenity__Free_parking_on_premises,amenity__Coffee,amenity__Extra_pillows_and_blankets,amenity__Conditioner,amenity__Heating,amenity__Oven,amenity__Body_soap,amenity__Dedicated_workspace,amenity__Toaster,amenity__Dishwasher,amenity__Hot_water_kettle,amenity__Bathtub,amenity__Shower_gel,amenity__Air_conditioning,amenity__Stove,amenities_count,bathroom_private,encoded_host_response_time
100.0,50.0,0,1,5,1,1,42.65789,-73.7537,4,1.0,2.0,2.0,93.0,28,1125,28,28,1125,1125,28.0,1125.0,1,0,0,0,188,9,0,0,0,0,0,0.0,3.56,3.44,3.56,4.22,4.56,3.22,3.67,0,1,0.07,1,0,0,4164,1195,0,0,4704,50,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,0
100.0,100.0,1,5,5,1,1,42.65222,-73.76724,3,1.0,2.0,1.0,91.0,2,1125,2,3,1125,1125,2.8,1125.0,1,30,49,79,354,311,6,0,76,15,36,3276.0,4.74,4.88,4.87,4.85,4.81,4.81,4.77,0,5,2.29,1,0,0,4119,112,0,0,4127,49,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,39,1,4
100.0,99.0,0,2,2,1,1,42.64615,-73.75966,2,1.0,0.0,2.0,64.0,2,45,1,2,1125,1125,1.3,1125.0,1,0,0,12,12,373,5,1,10,38,30,1920.0,4.52,4.62,4.45,4.81,4.88,4.76,4.64,0,2,2.94,1,0,0,3853,70,0,0,3909,49,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,40,1,4
100.0,100.0,1,5,5,1,1,42.65222,-73.76724,2,1.0,1.0,1.0,95.0,2,1125,1,3,1125,1125,2.7,1125.0,1,0,30,60,335,332,4,0,58,22,24,2280.0,4.73,4.83,4.71,4.83,4.7,4.8,4.72,0,5,2.64,1,0,0,3823,147,0,0,4127,50,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,37,1,4
100.0,100.0,1,1,1,1,1,42.65559,-73.76506,4,1.0,1.0,2.0,89.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,246,623,25,0,0,31,150,13350.0,4.79,4.86,4.82,4.95,4.93,4.87,4.77,0,1,5.58,1,0,0,3396,113,0,0,4158,50,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,33,1,0
100.0,99.0,0,2,2,1,1,42.64734,-73.75851,2,1.0,1.0,2.0,60.0,1,60,1,1,1125,1125,1.0,1125.0,1,10,38,67,242,434,38,2,64,42,228,13680.0,4.57,4.72,4.52,4.84,4.86,4.77,4.68,0,2,3.68,1,0,0,3583,52,0,0,3909,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,28,1,4
100.0,93.0,1,2,3,1,0,42.66078,-73.80553,1,1.0,1.0,1.0,47.0,1,1125,1,1,1125,1125,1.0,1125.0,1,13,38,68,157,845,132,8,65,128,255,11985.0,4.83,4.89,4.79,4.93,4.88,4.93,4.91,0,2,7.18,1,0,0,3580,58,0,0,4622,49,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,4
100.0,88.0,1,8,13,1,1,42.67567,-73.82438,10,2.0,3.0,4.0,227.0,1,1124,1,2,1124,1124,1.3,1124.0,1,18,41,71,346,209,45,0,69,34,255,57885.0,4.96,4.93,4.98,4.99,4.97,4.94,4.87,0,8,1.83,1,0,0,3466,82,0,0,4745,50,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,86,1,4
100.0,0.0,0,2,2,1,1,42.67583,-73.78297,1,1.5,0.0,1.0,56.0,15,112,15,15,112,112,15.0,112.0,1,29,59,89,364,231,0,0,87,2,0,0.0,4.81,4.87,4.37,4.94,4.96,4.52,4.87,0,2,2.03,1,0,0,3464,634,0,0,3551,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,28,0,3
100.0,71.0,0,2,2,1,1,42.65154,-73.76867,1,1.0,1.0,2.0,47.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,3,33,308,29,1,0,31,1,10,470.0,4.83,4.9,4.59,4.83,4.9,4.72,4.76,0,2,0.47,1,0,0,1919,107,0,0,3494,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,45,0,4
